Itearations;Unique samples;Sample length;Map size;MSE
10;30;6;4;0.365671862
10;30;6;6;0.309043427
10;30;6;8;0.321097708
10;30;6;10;0.354353778
10;30;6;12;0.285694917
10;30;6;14;0.291950646
10;30;6;16;0.2878504
10;30;6;18;0.265615599
10;30;6;20;0.30283832
10;30;7;2;0.594659255
10;30;7;4;0.465670328
10;30;7;6;0.430513588
10;30;7;8;0.386731591
10;30;7;10;0.401341785
10;30;7;12;0.393746815
10;30;7;14;0.388883838
10;30;7;16;0.353139062
10;30;7;18;0.394635536
10;30;7;20;0.356272587
10;30;8;2;0.667296596
10;30;8;4;0.489133918
10;30;8;6;0.513798622
10;30;8;8;0.522572251
10;30;8;10;0.458670337
10;30;8;12;0.520780911
10;30;8;14;0.414615328
10;30;8;16;0.424497073
10;30;8;18;0.45228778
10;30;8;20;0.483163448
10;30;9;2;0.80792363
10;30;9;4;0.699502775
10;30;9;6;0.611719712
10;30;9;8;0.581490555
10;30;9;10;0.595213665
10;30;9;12;0.618267153
10;30;9;14;0.529849808
10;30;9;16;0.535629724
10;30;9;18;0.488772162
10;30;9;20;0.482986704
10;30;10;2;0.840958274
10;30;10;4;0.740443356
10;30;10;6;0.692775053
10;30;10;8;0.59987814
10;30;10;10;0.648364462
10;30;10;12;0.631404936
10;30;10;14;0.644553813
10;30;10;16;0.550668721
10;30;10;18;0.596906121
10;30;10;20;0.605975411
10;35;1;2;0.013310737
10;35;1;4;0.005634131
10;35;1;6;0.01433268
10;35;1;8;0.004106093
10;35;1;10;0.007266481
10;35;1;12;0.001542897
10;35;1;14;0.006069831
10;35;1;16;0.01069913
10;35;1;18;0.003505449
10;35;1;20;0.003638886
10;35;2;2;0.120017004
10;35;2;4;0.052611287
10;35;2;6;0.029005251
10;35;2;8;0.038363641
10;35;2;10;0.028341901
10;35;2;12;0.049361383
10;35;2;14;0.042418062
10;35;2;16;0.034895743
10;35;2;18;0.017609309
10;35;2;20;0.028184615
10;35;3;2;0.216525238
10;35;3;4;0.132505886
10;35;3;6;0.105885168
10;35;3;8;0.094927561
10;35;3;10;0.102736735
10;35;3;12;0.098310956
10;35;3;14;0.093869196
10;35;3;16;0.067750656
10;35;3;18;0.090775399
10;35;3;20;0.076540033
10;35;4;2;0.328491771
10;35;4;4;0.23289238
10;35;4;6;0.176228575
10;35;4;8;0.180527773
10;35;4;10;0.172514468
10;35;4;12;0.164325475
10;35;4;14;0.152790968
10;35;4;16;0.129270012
10;35;4;18;0.141358534
10;35;4;20;0.164678082
10;35;5;2;0.381004929
10;35;5;4;0.299132321
10;35;5;6;0.247919182
10;35;5;8;0.237851574
10;35;5;10;0.24944643
10;35;5;12;0.234730044
10;35;5;14;0.207244506
10;35;5;16;0.203421508
10;35;5;18;0.203473879
10;35;5;20;0.206191584
10;35;6;2;0.537509117
10;35;6;4;0.377106865
10;35;6;6;0.369692288
10;35;6;8;0.372160576
10;35;6;10;0.334534448
10;35;6;12;0.296988653
10;35;6;14;0.305029065
10;35;6;16;0.307314675
10;35;6;18;0.306644991
10;35;6;20;0.342360938
10;35;7;2;0.581281674
10;35;7;4;0.463561664
10;35;7;6;0.437332343
10;35;7;8;0.407048607
10;35;7;10;0.407911561
10;35;7;12;0.438381271
10;35;7;14;0.38050261
10;35;7;16;0.362508369
10;35;7;18;0.372028911
10;35;7;20;0.352237666
10;35;8;2;0.684983208
10;35;8;4;0.584313931
10;35;8;6;0.542101568
10;35;8;8;0.518780054
10;35;8;10;0.505462905
10;35;8;12;0.469322967
10;35;8;14;0.492431776
10;35;8;16;0.446616557
10;35;8;18;0.439149904
10;35;8;20;0.445569774
10;35;9;2;0.863213326
10;35;9;4;0.656544926
10;35;9;6;0.640513753
10;35;9;8;0.56960092
10;35;9;10;0.560735105
10;35;9;12;0.560042172
10;35;9;14;0.541713094
10;35;9;16;0.564086735
10;35;9;18;0.56290913
10;35;9;20;0.570888641
10;35;10;2;0.94698438
10;35;10;4;0.749550677
10;35;10;6;0.689810543
10;35;10;8;0.649434122
10;35;10;10;0.699489927
10;35;10;12;0.586570311
10;35;10;14;0.675812606
10;35;10;16;0.645429403
10;35;10;18;0.634960492
10;35;10;20;0.595585058
10;40;1;2;0.019617355
10;40;1;4;0.010187001
10;40;1;6;0.005665365
10;40;1;8;0.005843254
10;40;1;10;0.002214405
10;40;1;12;0.006363507
10;40;1;14;0.006693299
10;40;1;16;0.005411397
10;40;1;18;0.00407343
10;40;1;20;0.004408646
10;40;2;2;0.098942489
10;40;2;4;0.070176781
10;40;2;6;0.042348083
10;40;2;8;0.04543517
10;40;2;10;0.02776536
10;40;2;12;0.031809823
10;40;2;14;0.029764623
10;40;2;16;0.029355396
10;40;2;18;0.031520238
10;40;2;20;0.019733615
10;40;3;2;0.215704789
10;40;3;4;0.13384645
10;40;3;6;0.124354688
10;40;3;8;0.094869021
10;40;3;10;0.108423086
10;40;3;12;0.088395426
10;40;3;14;0.095015627
10;40;3;16;0.091551839
10;40;3;18;0.071790823
10;40;3;20;0.072897099
10;40;4;2;0.291542177
10;40;4;4;0.205343772
10;40;4;6;0.169691943
10;40;4;8;0.190234403
10;40;4;10;0.166300395
10;40;4;12;0.175107992
10;40;4;14;0.142244492
10;40;4;16;0.156110865
10;40;4;18;0.174975983
10;40;4;20;0.166084651
10;40;5;2;0.367093327
10;40;5;4;0.298943326
10;40;5;6;0.248542535
10;40;5;8;0.234123866
10;40;5;10;0.236325915
10;40;5;12;0.244088368
10;40;5;14;0.229807787
10;40;5;16;0.221845701
10;40;5;18;0.246182795
10;40;5;20;0.244489684
10;40;6;2;0.524947426
10;40;6;4;0.424685218
10;40;6;6;0.376579784
10;40;6;8;0.31638935
10;40;6;10;0.305746848
10;40;6;12;0.319058842
10;40;6;14;0.357107427
10;40;6;16;0.289263064
10;40;6;18;0.348621199
10;40;6;20;0.312951068
10;40;7;2;0.638806934
10;40;7;4;0.507575523
10;40;7;6;0.455231867
10;40;7;8;0.406435045
10;40;7;10;0.434553393
10;40;7;12;0.408376143
10;40;7;14;0.385451531
10;40;7;16;0.38612695
10;40;7;18;0.417207308
10;40;7;20;0.392668103
10;40;8;2;0.747904507
10;40;8;4;0.514039051
10;40;8;6;0.565100745
10;40;8;8;0.529326043
10;40;8;10;0.530969237
10;40;8;12;0.496606114
10;40;8;14;0.478168296
10;40;8;16;0.460266695
10;40;8;18;0.481144823
10;40;8;20;0.471244294
10;40;9;2;0.828383273
10;40;9;4;0.695190502
10;40;9;6;0.646797386
10;40;9;8;0.591438758
10;40;9;10;0.596499076
10;40;9;12;0.565932195
10;40;9;14;0.564234101
10;40;9;16;0.600839109
10;40;9;18;0.557350224
10;40;9;20;0.600654172
10;40;10;2;0.94654272
10;40;10;4;0.762135199
10;40;10;6;0.758755951
10;40;10;8;0.709184577
10;40;10;10;0.684512155
10;40;10;12;0.693715778
10;40;10;14;0.698745446
